Gene	MappedGene	Source
Soltu.DM.01G000900	DM8.2_chr01G00880	synteny
Soltu.DM.01G000910	DM8.2_chr01G00890	synteny
Soltu.DM.01G000930	DM8.2_chr01G00910	synteny
Soltu.DM.01G000940	DM8.2_chr01G00920	synteny
Soltu.DM.01G000950	DM8.2_chr01G00930	synteny
Soltu.DM.01G000960	-	-
Soltu.DM.01G000970	DM8.2_chr01G00950	synteny
Soltu.DM.01G000980	DM8.2_chr01G00960	synteny
Soltu.DM.01G000990	DM8.2_chr01G00970	synteny
Soltu.DM.01G001000	-	-
Soltu.DM.01G001010	DM8.2_chr01G00990	synteny
Soltu.DM.01G001020	-	-
Soltu.DM.01G001030	-	-
Soltu.DM.01G001040	-	-
Soltu.DM.01G001050	DM8.2_chr01G01020	synteny
Soltu.DM.01G001060	DM8.2_chr01G01030	synteny
Soltu.DM.01G001070	-	-
Soltu.DM.01G001080	-	-
Soltu.DM.01G001090	DM8.2_chr01G01050	synteny
Soltu.DM.01G001100	DM8.2_chr01G01060	synteny
Soltu.DM.01G001120	-	-
Soltu.DM.01G001150	-	-
Soltu.DM.01G001160	DM8.2_chr01G01090	synteny
Soltu.DM.01G001170	DM8.2_chr01G01100	synteny
Soltu.DM.01G001180	DM8.2_chr01G01110	synteny
Soltu.DM.01G001190	DM8.2_chr01G01120	synteny
Soltu.DM.01G001200	DM8.2_chr01G01130	synteny
Soltu.DM.01G001210	DM8.2_chr01G01140	synteny
Soltu.DM.01G001220	DM8.2_chr01G01150	synteny
Soltu.DM.01G001240	DM8.2_chr01G01220	synteny
Soltu.DM.01G001250	-	-
Soltu.DM.01G001260	-	-
Soltu.DM.01G001270	DM8.2_chr01G01210	synteny
Soltu.DM.01G001280	-	-
Soltu.DM.01G001300	DM8.2_chr01G01240	synteny
Soltu.DM.01G001310	-	-
Soltu.DM.01G001320	-	-
Soltu.DM.01G001330	DM8.2_chr01G01260	synteny
Soltu.DM.01G001340	DM8.2_chr01G01280	synteny
Soltu.DM.01G001350	DM8.2_chr01G01290	synteny
Soltu.DM.01G001360	DM8.2_chr01G01300	synteny
Soltu.DM.01G001370	DM8.2_chr01G01310	synteny
Soltu.DM.01G001380	-	-
Soltu.DM.01G001390	DM8.2_chr01G01330	synteny
Soltu.DM.01G001400	-	-
Soltu.DM.01G001410	-	-
Soltu.DM.01G001440	DM8.2_chr01G01350	synteny
Soltu.DM.01G001450	DM8.2_chr01G01360	synteny
Soltu.DM.01G001460	DM8.2_chr01G01370	synteny
Soltu.DM.01G001470	DM8.2_chr01G01380	synteny
Soltu.DM.01G001480	DM8.2_chr01G01390	synteny
Soltu.DM.01G001490	DM8.2_chr01G01400	synteny
Soltu.DM.01G001500	DM8.2_chr01G01410	synteny
Soltu.DM.01G001520	DM8.2_chr01G01420	synteny
Soltu.DM.01G001530	DM8.2_chr01G01430	synteny
Soltu.DM.01G001540	DM8.2_chr01G01440	synteny
Soltu.DM.01G001550	DM8.2_chr01G01450	synteny
Soltu.DM.01G001560	DM8.2_chr01G01460	synteny
Soltu.DM.01G001570	DM8.2_chr01G01470	synteny
Soltu.DM.01G001580	DM8.2_chr01G01480	synteny
Soltu.DM.01G001590	DM8.2_chr01G01490	synteny
Soltu.DM.01G001600	DM8.2_chr01G01500	synteny
Soltu.DM.01G001610	DM8.2_chr01G01510	synteny
Soltu.DM.01G001620	-	-
Soltu.DM.01G001630	DM8.2_chr01G01550	synteny
Soltu.DM.01G001640	DM8.2_chr01G01560	synteny
Soltu.DM.01G001650	DM8.2_chr01G01570	synteny
Soltu.DM.01G001660	DM8.2_chr01G01580	synteny
Soltu.DM.01G001670	DM8.2_chr01G01590	synteny
Soltu.DM.01G001680	DM8.2_chr01G01600	synteny
Soltu.DM.01G001690	DM8.2_chr01G01610	synteny
Soltu.DM.01G001700	DM8.2_chr01G01620	synteny
Soltu.DM.01G001710	DM8.2_chr01G01630	synteny
Soltu.DM.01G001720	DM8.2_chr01G01540	synteny
Soltu.DM.01G001730	DM8.2_chr01G01670	synteny
Soltu.DM.01G001740	DM8.2_chr01G01680	synteny
Soltu.DM.01G001750	-	-
Soltu.DM.01G001760	DM8.2_chr01G01690	synteny
Soltu.DM.01G001770	DM8.2_chr01G01700	synteny
Soltu.DM.01G001790	DM8.2_chr01G01710	synteny
Soltu.DM.01G001800	DM8.2_chr01G01730	synteny
Soltu.DM.01G001810	DM8.2_chr01G01740	synteny
Soltu.DM.01G001820	DM8.2_chr01G01750	synteny
Soltu.DM.01G001830	DM8.2_chr01G01760	synteny
Soltu.DM.01G001840	DM8.2_chr01G01770	synteny
Soltu.DM.01G001850	DM8.2_chr01G01780	synteny
Soltu.DM.01G001860	DM8.2_chr01G01790	synteny
Soltu.DM.01G001870	-	-
Soltu.DM.01G001880	DM8.2_chr01G01800	synteny
Soltu.DM.01G001890	DM8.2_chr01G01810	synteny
Soltu.DM.01G001900	DM8.2_chr01G01820	synteny
Soltu.DM.01G001910	DM8.2_chr01G01850	synteny
Soltu.DM.01G001920	DM8.2_chr01G01860	synteny
Soltu.DM.01G001930	DM8.2_chr01G01870	synteny
Soltu.DM.01G001940	DM8.2_chr01G01880	synteny
Soltu.DM.01G001950	DM8.2_chr01G01890	synteny
Soltu.DM.01G001970	-	-
Soltu.DM.01G001980	DM8.2_chr01G01910	synteny
Soltu.DM.01G001990	DM8.2_chr01G01930	synteny
Soltu.DM.01G002000	DM8.2_chr01G01940	synteny
Soltu.DM.01G002010	DM8.2_chr01G01950	synteny
Soltu.DM.01G002020	DM8.2_chr01G01960	synteny
Soltu.DM.01G002050	DM8.2_chr01G01990	synteny
Soltu.DM.01G002060	DM8.2_chr01G02000	synteny
Soltu.DM.01G002070	DM8.2_chr01G02010	synteny
Soltu.DM.01G002080	DM8.2_chr01G02020	synteny
Soltu.DM.01G002090	DM8.2_chr01G02040	synteny
Soltu.DM.01G002100	-	-
Soltu.DM.01G002110	-	-
Soltu.DM.01G002120	-	-
Soltu.DM.01G002130	-	-
Soltu.DM.01G002140	DM8.2_chr01G02050	synteny
Soltu.DM.01G002150	-	-
Soltu.DM.01G002160	-	-
Soltu.DM.01G002170	-	-
Soltu.DM.01G002180	DM8.2_chr01G02160	synteny
Soltu.DM.01G002190	DM8.2_chr01G02140	synteny
Soltu.DM.01G002210	-	-
Soltu.DM.01G002220	DM8.2_chr01G02170	synteny
Soltu.DM.01G002230	-	-
Soltu.DM.01G002240	-	-
Soltu.DM.01G002250	-	-
Soltu.DM.01G002270	-	-
Soltu.DM.01G002280	DM8.2_chr01G02210	synteny
Soltu.DM.01G002290	DM8.2_chr01G02220	synteny
Soltu.DM.01G002300	DM8.2_chr01G02230	synteny
Soltu.DM.01G002310	DM8.2_chr01G02240	synteny
Soltu.DM.01G002320	-	-
Soltu.DM.01G002330	DM8.2_chr01G02250	synteny
Soltu.DM.01G002340	DM8.2_chr01G02260	synteny
Soltu.DM.01G002350	DM8.2_chr01G02270	synteny
Soltu.DM.01G002360	DM8.2_chr01G02280	synteny
Soltu.DM.01G002370	DM8.2_chr01G02290	synteny
Soltu.DM.01G002380	DM8.2_chr01G02300	synteny
Soltu.DM.01G002390	DM8.2_chr01G02310	synteny
Soltu.DM.01G002400	DM8.2_chr01G02320	synteny
Soltu.DM.01G002410	DM8.2_chr01G02330	synteny
Soltu.DM.01G002420	DM8.2_chr01G02340	synteny
Soltu.DM.01G002430	-	-
Soltu.DM.01G002440	-	-
Soltu.DM.01G002450	DM8.2_chr01G02360	synteny
Soltu.DM.01G002460	DM8.2_chr01G02380	synteny
Soltu.DM.01G002470	DM8.2_chr01G02390	synteny
Soltu.DM.01G002480	DM8.2_chr01G02400	synteny
Soltu.DM.01G002490	DM8.2_chr01G02410	synteny
Soltu.DM.01G002500	DM8.2_chr01G02420	synteny
Soltu.DM.01G002510	DM8.2_chr01G02430	synteny
Soltu.DM.01G002520	DM8.2_chr01G02450	synteny
Soltu.DM.01G002530	DM8.2_chr01G02460	synteny
Soltu.DM.01G002540	DM8.2_chr01G02470	synteny
Soltu.DM.01G002550	DM8.2_chr01G02480	synteny
Soltu.DM.01G002560	DM8.2_chr01G02490	synteny
Soltu.DM.01G002580	DM8.2_chr01G02500	synteny
Soltu.DM.01G002590	DM8.2_chr01G02510	synteny
Soltu.DM.01G002600	DM8.2_chr01G02520	synteny
Soltu.DM.01G002610	DM8.2_chr01G02530	synteny
Soltu.DM.01G002620	DM8.2_chr01G02540	synteny
Soltu.DM.01G002630	DM8.2_chr01G02550	synteny
Soltu.DM.01G002640	DM8.2_chr01G02560	synteny
Soltu.DM.01G002650	DM8.2_chr01G02570	synteny
Soltu.DM.01G002660	DM8.2_chr01G02580	synteny
Soltu.DM.01G002670	DM8.2_chr01G02590	synteny
Soltu.DM.01G002680	DM8.2_chr01G02600	synteny
Soltu.DM.01G002690	DM8.2_chr01G02610	synteny
Soltu.DM.01G002710	DM8.2_chr01G02620	synteny
Soltu.DM.01G002720	DM8.2_chr01G02630	synteny
Soltu.DM.01G002730	DM8.2_chr01G02640	synteny
Soltu.DM.01G002740	-	-
Soltu.DM.01G002750	DM8.2_chr01G02660	synteny
Soltu.DM.01G002760	-	-
Soltu.DM.01G002770	-	-
Soltu.DM.01G002800	-	-
Soltu.DM.01G002810	-	-
Soltu.DM.01G002820	-	-
Soltu.DM.01G002830	DM8.2_chr01G02740	synteny
Soltu.DM.01G002840	DM8.2_chr01G02760	synteny
Soltu.DM.01G002850	DM8.2_chr01G02770	synteny
Soltu.DM.01G002860	DM8.2_chr01G02780	synteny
Soltu.DM.01G002870	-	-
Soltu.DM.01G002880	-	-
Soltu.DM.01G002890	DM8.2_chr01G02810	synteny
Soltu.DM.01G002900	DM8.2_chr01G02820	synteny
Soltu.DM.01G002910	DM8.2_chr01G02830	synteny
Soltu.DM.01G002920	DM8.2_chr01G02840	synteny
Soltu.DM.01G002930	DM8.2_chr01G02850	synteny
Soltu.DM.01G002940	DM8.2_chr01G02860	synteny
Soltu.DM.01G002950	DM8.2_chr01G02870	synteny
Soltu.DM.01G002960	DM8.2_chr01G02880	synteny
Soltu.DM.01G002970	DM8.2_chr01G02890	synteny
Soltu.DM.01G002980	DM8.2_chr01G02900	synteny
Soltu.DM.01G002990	DM8.2_chr01G02910	synteny
Soltu.DM.01G003000	DM8.2_chr01G02920	synteny
Soltu.DM.01G003010	DM8.2_chr01G02930	synteny
Soltu.DM.01G003030	DM8.2_chr01G02950	synteny
Soltu.DM.01G003040	DM8.2_chr01G02960	synteny
Soltu.DM.01G003050	DM8.2_chr01G02970	synteny
Soltu.DM.01G003070	-	-
Soltu.DM.01G003080	DM8.2_chr01G02990	synteny
Soltu.DM.01G003090	DM8.2_chr01G03000	synteny
Soltu.DM.01G003100	DM8.2_chr01G03010	synteny
Soltu.DM.01G003110	DM8.2_chr01G03020	synteny
Soltu.DM.01G003120	DM8.2_chr01G03030	synteny
Soltu.DM.01G003130	DM8.2_chr01G03050	synteny
Soltu.DM.01G003140	DM8.2_chr01G03060	synteny
Soltu.DM.01G003150	DM8.2_chr01G03080	synteny
Soltu.DM.01G003160	DM8.2_chr01G03070	synteny
Soltu.DM.01G003170	-	-
Soltu.DM.01G003180	DM8.2_chr01G03090	synteny
Soltu.DM.01G003190	DM8.2_chr01G03100	synteny
Soltu.DM.01G003200	DM8.2_chr01G03110	synteny
Soltu.DM.01G003220	DM8.2_chr01G03140	synteny
Soltu.DM.01G003230	DM8.2_chr01G03150	synteny
Soltu.DM.01G003240	-	-
Soltu.DM.01G003250	DM8.2_chr01G03160	synteny
Soltu.DM.01G003260	DM8.2_chr01G03170	synteny
Soltu.DM.01G003270	DM8.2_chr01G03180	synteny
Soltu.DM.01G003280	DM8.2_chr01G03190	synteny
Soltu.DM.01G003290	DM8.2_chr01G03200	synteny
Soltu.DM.01G003300	DM8.2_chr01G03210	synteny
Soltu.DM.01G003310	-	-
Soltu.DM.01G003320	DM8.2_chr01G03230	synteny
Soltu.DM.01G003330	DM8.2_chr01G03240	synteny
Soltu.DM.01G003340	DM8.2_chr01G03250	synteny
Soltu.DM.01G003350	DM8.2_chr01G03260	synteny
Soltu.DM.01G003360	DM8.2_chr01G03270	synteny
Soltu.DM.01G003400	DM8.2_chr01G03290	synteny
Soltu.DM.01G003410	DM8.2_chr01G03300	synteny
Soltu.DM.01G003420	DM8.2_chr01G03310	synteny
Soltu.DM.01G003430	-	-
Soltu.DM.01G003440	-	-
Soltu.DM.01G003450	-	-
Soltu.DM.01G003460	-	-
Soltu.DM.01G003470	-	-
Soltu.DM.01G003480	-	-
Soltu.DM.01G003490	DM8.2_chr01G03360	synteny
Soltu.DM.01G003500	-	-
Soltu.DM.01G003510	-	-
Soltu.DM.01G003520	DM8.2_chr01G03390	synteny
Soltu.DM.01G003530	DM8.2_chr01G03400	synteny
Soltu.DM.01G003540	DM8.2_chr01G03410	synteny
Soltu.DM.01G003550	DM8.2_chr01G03420	synteny
Soltu.DM.01G003570	DM8.2_chr01G03450	synteny
Soltu.DM.01G003580	DM8.2_chr01G03460	synteny
Soltu.DM.01G003590	DM8.2_chr01G03470	synteny
Soltu.DM.01G003600	DM8.2_chr01G03480	synteny
Soltu.DM.01G003610	-	-
Soltu.DM.01G003620	-	-
Soltu.DM.01G003630	DM8.2_chr01G03490	synteny
Soltu.DM.01G003640	DM8.2_chr01G03500	synteny
Soltu.DM.01G003650	-	-
Soltu.DM.01G003660	DM8.2_chr01G03510	synteny
Soltu.DM.01G003670	DM8.2_chr01G03520	synteny
Soltu.DM.01G003680	-	-
Soltu.DM.01G003690	DM8.2_chr01G03530	synteny
Soltu.DM.01G003700	-	-
Soltu.DM.01G003710	DM8.2_chr01G03540	synteny
Soltu.DM.01G003720	-	-
Soltu.DM.01G003730	-	-
Soltu.DM.01G003740	DM8.2_chr01G03560	synteny
Soltu.DM.01G003750	-	-
Soltu.DM.01G003760	DM8.2_chr01G03550	synteny
Soltu.DM.01G003770	DM8.2_chr01G03580	synteny
Soltu.DM.01G003780	DM8.2_chr01G03590	synteny
Soltu.DM.01G003800	DM8.2_chr01G03600	synteny
Soltu.DM.01G003810	DM8.2_chr01G03620	synteny
Soltu.DM.01G003820	DM8.2_chr01G03630	synteny
Soltu.DM.01G003830	DM8.2_chr01G03640	synteny
Soltu.DM.01G003840	DM8.2_chr01G03650	synteny
Soltu.DM.01G003850	DM8.2_chr01G03660	synteny
Soltu.DM.01G003860	DM8.2_chr01G03670	synteny
Soltu.DM.01G003870	DM8.2_chr01G03680	synteny
Soltu.DM.01G003880	DM8.2_chr01G03690	synteny
Soltu.DM.01G003890	DM8.2_chr01G03700	synteny
Soltu.DM.01G003900	-	-
Soltu.DM.01G003910	DM8.2_chr01G03720	synteny
Soltu.DM.01G003920	DM8.2_chr01G03730	synteny
Soltu.DM.01G003930	DM8.2_chr01G03750	synteny
Soltu.DM.01G003940	-	-
Soltu.DM.01G003950	-	-
Soltu.DM.01G003960	DM8.2_chr01G03760	synteny
Soltu.DM.01G003970	DM8.2_chr01G03770	synteny
Soltu.DM.01G003980	DM8.2_chr01G03780	synteny
Soltu.DM.01G003990	DM8.2_chr01G03790	synteny
Soltu.DM.01G004000	DM8.2_chr01G03810	synteny
Soltu.DM.01G004010	-	-
Soltu.DM.01G004020	-	-
Soltu.DM.01G004030	-	-
Soltu.DM.01G004040	-	-
Soltu.DM.01G004060	-	-
Soltu.DM.01G004070	-	-
Soltu.DM.01G004080	-	-
Soltu.DM.01G004090	-	-
Soltu.DM.01G004100	DM8.2_chr01G03870	synteny
Soltu.DM.01G004110	DM8.2_chr01G03850	synteny
Soltu.DM.01G004120	-	-
Soltu.DM.01G004140	-	-
Soltu.DM.01G004150	-	-
Soltu.DM.01G004170	-	-
Soltu.DM.01G004190	-	-
Soltu.DM.01G004200	-	-
Soltu.DM.01G004220	DM8.2_chr01G03840	(identity: 100.0%)
Soltu.DM.01G004240	-	-
Soltu.DM.01G004250	-	-
Soltu.DM.01G004270	-	-
Soltu.DM.01G004280	-	-
Soltu.DM.01G004290	-	-
Soltu.DM.01G004300	-	-
Soltu.DM.01G004320	-	-
Soltu.DM.01G004330	-	-
Soltu.DM.01G004340	-	-
Soltu.DM.01G004360	-	-
Soltu.DM.01G004370	-	-
Soltu.DM.01G004380	-	-
Soltu.DM.01G004390	-	-
Soltu.DM.01G004410	-	-
Soltu.DM.01G004420	-	-
Soltu.DM.01G004430	-	-
Soltu.DM.01G004440	-	-
Soltu.DM.01G004450	DM8.2_chr01G03840	synteny
Soltu.DM.01G004460	-	-
Soltu.DM.01G004470	-	-
Soltu.DM.01G004490	-	-
Soltu.DM.01G004500	-	-
Soltu.DM.01G004510	-	-
Soltu.DM.01G004520	-	-
Soltu.DM.01G004530	-	-
Soltu.DM.01G004540	DM8.2_chr01G03960	synteny
Soltu.DM.01G004560	DM8.2_chr01G03980	synteny
Soltu.DM.01G004570	DM8.2_chr01G04000	synteny
Soltu.DM.01G004620	DM8.2_chr01G04050	synteny
Soltu.DM.01G004630	DM8.2_chr01G04070	synteny
Soltu.DM.01G004640	DM8.2_chr01G04080	synteny
Soltu.DM.01G004650	DM8.2_chr01G04090	synteny
Soltu.DM.01G004670	DM8.2_chr01G04110	synteny
Soltu.DM.01G004690	DM8.2_chr01G04130	synteny
Soltu.DM.01G004700	-	-
Soltu.DM.01G004710	-	-
Soltu.DM.01G004720	-	-
Soltu.DM.01G004730	DM8.2_chr01G04170	synteny
Soltu.DM.01G004740	DM8.2_chr01G04180	synteny
Soltu.DM.01G004750	-	-
Soltu.DM.01G004760	-	-
Soltu.DM.01G004770	-	-
Soltu.DM.01G004780	-	-
Soltu.DM.01G004790	-	-
Soltu.DM.01G004800	-	-
Soltu.DM.01G004810	-	-
Soltu.DM.01G004820	-	-
Soltu.DM.01G004830	-	-
Soltu.DM.01G004840	DM8.2_chr01G04250	synteny
Soltu.DM.01G004850	-	-
Soltu.DM.01G004860	-	-
Soltu.DM.01G004870	DM8.2_chr04G22040	(identity: 90.18%)
Soltu.DM.01G004880	DM8.2_chr01G04210	synteny
Soltu.DM.01G004890	-	-
Soltu.DM.01G004900	DM8.2_chr01G04300	synteny
Soltu.DM.01G004910	-	-
Soltu.DM.01G004920	DM8.2_chr01G04310	synteny
Soltu.DM.01G004930	DM8.2_chr01G04170	(identity: 93.26%)
Soltu.DM.01G004940	-	-
Soltu.DM.01G004950	DM8.2_chr01G04340	synteny
Soltu.DM.01G004960	DM8.2_chr01G04350	synteny
Soltu.DM.01G004970	-	-
Soltu.DM.01G004980	DM8.2_chr01G04370	synteny
Soltu.DM.01G004990	-	-
Soltu.DM.01G005000	-	-
Soltu.DM.01G005010	-	-
Soltu.DM.01G005020	-	-
Soltu.DM.01G005030	DM8.2_chr01G04400	synteny
Soltu.DM.01G005040	DM8.2_chr01G04410	synteny
Soltu.DM.01G005050	-	-
Soltu.DM.01G005060	DM8.2_chr01G04420	synteny
Soltu.DM.01G005070	DM8.2_chr01G04430	synteny
Soltu.DM.01G005080	DM8.2_chr01G04440	synteny
Soltu.DM.01G005130	DM8.2_chr01G04490	synteny
Soltu.DM.01G005140	DM8.2_chr01G04480	synteny
Soltu.DM.01G005150	-	-
Soltu.DM.01G005160	-	-
Soltu.DM.01G005170	-	-
Soltu.DM.01G005180	-	-
Soltu.DM.01G005190	DM8.2_chr01G04530	synteny
Soltu.DM.01G005200	DM8.2_chr01G04550	synteny
Soltu.DM.01G005210	-	-
Soltu.DM.01G005220	-	-
Soltu.DM.01G005230	DM8.2_chr01G04520	synteny
Soltu.DM.01G005240	-	-
Soltu.DM.01G005250	-	-
Soltu.DM.01G005260	-	-
Soltu.DM.01G005270	-	-
Soltu.DM.01G005280	-	-
Soltu.DM.01G005290	-	-
Soltu.DM.01G005300	-	-
Soltu.DM.01G005310	-	-
Soltu.DM.01G005320	-	-
Soltu.DM.01G005330	-	-
Soltu.DM.01G005340	-	-
Soltu.DM.01G005350	-	-
Soltu.DM.01G005360	-	-
Soltu.DM.01G005380	DM8.2_chr01G04680	synteny
Soltu.DM.01G005390	-	-
Soltu.DM.01G005400	DM8.2_chr01G04710	synteny
Soltu.DM.01G005430	-	-
Soltu.DM.01G005440	DM8.2_chr03G22900	(identity: 96.67%)
Soltu.DM.01G005450	-	-
Soltu.DM.01G005460	-	-
Soltu.DM.01G005470	-	-
Soltu.DM.01G005480	DM8.2_chr11G17830	synteny
Soltu.DM.01G005490	-	-
Soltu.DM.01G005500	DM8.2_chr01G04790	synteny
Soltu.DM.01G005510	-	-
Soltu.DM.01G005520	DM8.2_chr01G04800	synteny
Soltu.DM.01G005530	DM8.2_chr01G04810	synteny
Soltu.DM.01G005540	-	-
Soltu.DM.01G005550	DM8.2_chr01G04820	synteny
Soltu.DM.01G005560	DM8.2_chr01G04830	synteny
Soltu.DM.01G005570	DM8.2_chr01G04840	synteny
Soltu.DM.01G005580	DM8.2_chr01G04850	synteny
Soltu.DM.01G005590	DM8.2_chr01G04860	synteny
Soltu.DM.01G005600	DM8.2_chr01G04880	synteny
Soltu.DM.01G005610	DM8.2_chr01G04890	synteny
Soltu.DM.01G005620	DM8.2_chr01G04900	synteny
Soltu.DM.01G005630	DM8.2_chr01G04910	synteny
Soltu.DM.01G005640	DM8.2_chr01G04920	synteny
Soltu.DM.01G005650	DM8.2_chr01G04930	synteny
Soltu.DM.01G005660	DM8.2_chr01G04940	synteny
Soltu.DM.01G005670	DM8.2_chr01G04950	synteny
Soltu.DM.01G005680	DM8.2_chr01G04960	synteny
Soltu.DM.01G005700	-	-
Soltu.DM.01G005720	-	-
Soltu.DM.01G005760	-	-
Soltu.DM.01G005770	DM8.2_chr01G05110	synteny
Soltu.DM.01G005780	DM8.2_chr01G05120	synteny
Soltu.DM.01G005790	-	-
Soltu.DM.01G005800	DM8.2_chr01G05130	synteny
Soltu.DM.01G005810	DM8.2_chr01G05140	synteny
Soltu.DM.01G005820	DM8.2_chr01G05150	synteny
Soltu.DM.01G005830	DM8.2_chr01G05160	synteny
Soltu.DM.01G005840	DM8.2_chr01G05170	synteny
Soltu.DM.01G005850	DM8.2_chr01G05180	synteny
Soltu.DM.01G005860	DM8.2_chr01G05190	synteny
Soltu.DM.01G005870	DM8.2_chr01G05200	synteny
Soltu.DM.01G005880	-	-
Soltu.DM.01G005890	DM8.2_chr01G05210	synteny
Soltu.DM.01G005900	DM8.2_chr01G05220	synteny
Soltu.DM.01G005910	DM8.2_chr01G05230	synteny
Soltu.DM.01G005920	DM8.2_chr01G05240	synteny
Soltu.DM.01G005930	DM8.2_chr01G05250	synteny
Soltu.DM.01G005940	DM8.2_chr01G05260	synteny
Soltu.DM.01G005950	DM8.2_chr01G05270	synteny
Soltu.DM.01G005960	DM8.2_chr01G05280	synteny
Soltu.DM.01G005970	DM8.2_chr01G05290	synteny
Soltu.DM.01G005980	DM8.2_chr01G05300	synteny
Soltu.DM.01G005990	-	-
Soltu.DM.01G006000	-	-
Soltu.DM.01G006010	DM8.2_chr01G05310	synteny
Soltu.DM.01G006040	DM8.2_chr01G05390	synteny
Soltu.DM.01G006050	DM8.2_chr01G05490	synteny
Soltu.DM.01G006060	DM8.2_chr01G05380	synteny
Soltu.DM.01G006070	-	-
Soltu.DM.01G006080	-	-
Soltu.DM.01G006090	DM8.2_chr01G05460	synteny
Soltu.DM.01G006130	-	-
